Geographic name,0 to 14 years,15 to 19 years,20 to 64 years,65 years and over,Total Population 2021,Total Population 2016,Population Growth (%),Median total income of household in 2020,Unemployment Rate (%)
Canada,8480585.0,2012975.0,19545375.0,6953045.0,36991980.0,35151728.0,5.235167955327829,84000.0,10.3
Ontario,3169955.0,801455.0,7642825.0,2609705.0,14223940.0,13448494.0,5.766043394896112,91000.0,12.2
Quebec,1979590.0,429400.0,4354975.0,1737865.0,8501830.0,8164361.0,4.133440449289296,72500.0,7.6
British Columbia,1046435.0,253690.0,2694190.0,1006570.0,5000885.0,4648055.0,7.590917061007238,85000.0,8.4
Alberta,1122790.0,249765.0,2266340.0,623735.0,4262630.0,4067175.0,4.805669783080393,96000.0,11.5
Manitoba,340105.0,80905.0,694735.0,226405.0,1342150.0,1278365.0,4.989576529394969,79500.0,8.3
Saskatchewan,298610.0,68510.0,569840.0,195550.0,1132510.0,1098352.0,3.109931970807173,82000.0,8.4
Nova Scotia,194935.0,48180.0,512755.0,213515.0,969385.0,923598.0,4.957459847249561,71500.0,12.7
New Brunswick,160045.0,39090.0,400905.0,175555.0,775595.0,747101.0,3.8139421577537713,70000.0,10.3
Newfoundland and Labrador,99700.0,25720.0,265130.0,119995.0,510545.0,519716.0,-1.7646175988424446,71500.0,15.2
Prince Edward Island,33060.0,8560.0,80285.0,32415.0,154320.0,142907.0,7.986312776840883,73500.0,10.3
Northwest Territories,11470.0,2530.0,22985.0,4080.0,41065.0,41786.0,-1.725458287464701,127000.0,8.6
Yukon,9685.0,2085.0,22445.0,6030.0,40245.0,35874.0,12.184311757819033,100000.0,6.8
Nunavut,14190.0,3085.0,17980.0,1610.0,36865.0,35944.0,2.5623191631426665,118000.0,16.9
